"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Lactobacillus kullabergensis"	"S"	1218493	1.997	1.06	0.9451	1.303	1.375	0.7649	0.93	1.997	1.251	0.7238	1.027	1.476	1.041	0.9056	1.521	1.29	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kunkeei"	"S"	148814	4.011	0.1999	0.1695	0.01741	0.03085	2.632	0.01367	0.1377	0.2435	0.2461	4.011	0.1859	1.018	2.104	0.6055	0.2917	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus bombicola"	"S"	1505723	0.06952	0.008303	0.009239	0.0226	0.01616	0.008073	0.01253	0.02364	0.01834	0.01733	0.03716	0.01277	0.01893	0.01577	0.0184	0.06952	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus apinorum"	"S"	1218495	0.06555	0.005297	0.004452	0.003069	0.003006	0.03775	0.003516	0.006161	0.01079	0.03234	0.05711	0.004757	0.03285	0.06555	0.01983	0.0136	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Melissococcus plutonius"	"S"	33970	22.61	0.01542	0.01245	0.01084	0.01183	18.02	0.01404	0.009939	0.008109	3.307	6.043	0.006932	19.58	22.61	0.008827	3.88	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Melissococcus"
"Paenibacillus alvei"	"S"	44250	0.005601	0.003682	0.00291	0.002961	0.001737	0.002491	0.002564	0.002219	0.001646	0.001623	0.002205	0.001128	0.004686	0.005601	0.001345	0.001352	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus larvae"	"S"	1464	0.006225	0.001935	0.001571	0.001589	0.001113	0.001403	0.001163	0.00121	0.0008892	0.001854	0.001292	0.0005931	0.004168	0.006225	0.001087	0.001032	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Brevibacillus laterosporus"	"S"	1465	0.009618	0.00186	0.00128	0.001064	0.001386	0.001588	0.001428	0.001724	0.001274	0.001472	0.001737	0.0007443	0.007384	0.009618	0.000844	0.0009415	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Brevibacillus"
"Bifidobacterium asteroides"	"S"	1684	12.98	5.776	6.2	9.485	6.231	6.706	7.043	7.094	11.51	6.747	5.379	6.935	8.085	4.65	12.98	8.562	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium coryneforme"	"S"	1687	0.9637	0.623	0.3529	0.06501	0.2039	0.9637	0.2619	0.1705	0.3877	0.1414	0.2971	0.2273	0.5758	0.2475	0.5556	0.3454	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium indicum"	"S"	1691	0.8832	0.5725	0.2993	0.06447	0.1877	0.8832	0.2379	0.1495	0.36	0.1327	0.276	0.191	0.5242	0.2207	0.46	0.3342	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium actinocoloniiforme"	"S"	638619	0.008627	0.00449	0.005325	0.002915	0.004139	0.005614	0.004891	0.003356	0.008627	0.005911	0.004099	0.002815	0.005772	0.004082	0.007582	0.00661	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium bohemicum"	"S"	638617	0.002165	0.001709	0.001004	0.001157	0.0007028	0.002165	0.001005	0.0007702	0.001022	0.0004984	0.001582	0.001268	0.001178	0.0007539	0.001144	0.001142	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Bifidobacterium bombi"	"S"	471511	0.002362	0.001409	0.001135	0.0007095	0.001249	0.001556	0.0009781	0.001247	0.002362	0.001113	0.001381	0.0007792	0.001437	0.001368	0.001659	0.0008614	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae>Bifidobacterium"
"Spiroplasma melliferum"	"S"	2134	0.1188	0.0152	0.002823	0.008391	0.003573	0.002459	0.005684	0.002971	0.002522	0.1188	0.1083	0.002221	0.005888	0.005202	0.004564	0.002083	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Spiroplasma apis"	"S"	2137	1.392	0.009693	0.005645	0.004473	0.004646	0.003286	0.00727	0.005208	0.002986	1.392	0.004633	0.002024	0.001929	0.001529	0.002875	0.002394	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Apibacter sp. wkB309"	"S"	1679467	0.05528	0.01922	0.02606	0.003085	0.004959	0.003841	0.00571	0.003502	0.05528	0.002805	0.01945	0.002535	0.01427	0.009758	0.00844	0.01415	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter>unclassified&nbsp;Apibacter"
"Apibacter mensalis"	"S"	1586267	0.05428	0.01798	0.02735	0.003578	0.004432	0.004298	0.005155	0.003521	0.05428	0.003083	0.02172	0.002512	0.01319	0.009801	0.009399	0.01421	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter"
"Apibacter adventoris"	"S"	1679466	0.01528	0.009562	0.01052	0.007774	0.006716	0.005005	0.008406	0.005886	0.01528	0.005494	0.01225	0.004292	0.006356	0.006732	0.005822	0.00618	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae>Apibacter"
